Name: 广东珠江, URL: http://119.129.238.239:10000/udp/239.77.0.1:5146$720x576, Date: None, Resolution: None, Response Time: 476ms
Name: 广东珠江, URL: http://119.129.238.239:10000/udp/239.77.1.94:5146$720x576, Date: None, Resolution: None, Response Time: 477ms
Name: 广东珠江, URL: http://113.67.164.10:8888/rtp/239.77.1.94:5146$1920x1080, Date: None, Resolution: None, Response Time: 479ms
Name: 广东珠江, URL: http://116.4.96.235:4080/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: None, Response Time: 480ms
Name: 广东珠江, URL: http://113.74.172.147:4000/udp/239.77.0.114:5146$1920x1080, Date: None, Resolution: None, Response Time: 480ms
Name: 广东珠江, URL: http://113.67.164.10:8888/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: None, Response Time: 480ms
Name: 广东珠江, URL: http://113.67.164.10:8888/rtp/239.77.0.114:5146$1920x1080, Date: None, Resolution: None, Response Time: 481ms
Name: 广东珠江, URL: http://113.110.201.133:8888/rtp/239.77.0.114:5146$1920x1080, Date: None, Resolution: None, Response Time: 483ms
Name: 广东珠江, URL: http://113.110.201.133:8888/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: None, Response Time: 486ms
Name: 广东珠江, URL: http://113.110.201.133:8888/rtp/239.77.1.94:5146$1920x1080, Date: None, Resolution: None, Response Time: 487ms
Name: 广东珠江, URL: http://125.89.163.44:8888/udp/239.77.0.3:5146$720x576, Date: None, Resolution: None, Response Time: 501ms
Name: 广东珠江, URL: http://113.101.160.29:8888/rtp/239.77.0.1:5146$1920x1080, Date: None, Resolution: None, Response Time: 502ms
Name: 广东珠江, URL: http://113.101.160.29:8888/rtp/239.77.0.114:5146$1920x1080, Date: None, Resolution: None, Response Time: 504ms
Name: 广东珠江, URL: http://113.101.160.29:8888/rtp/239.77.1.94:5146$1920x1080, Date: None, Resolution: None, Response Time: 509ms
Name: 广东珠江, URL: http://jt.zorua.cn:8787/udp/239.77.1.94:5146$720x576, Date: None, Resolution: None, Response Time: 885ms
Name: 广东珠江, URL: http://183.11.239.36:808/hls/83/index.m3u8, Date: None, Resolution: None, Response Time: 1061ms
Name: 广东珠江, URL: http://116.4.96.235:4080/udp/239.77.0.114:5146$1920x1080, Date: None, Resolution: None, Response Time: 1181ms
Name: 广东珠江, URL: http://116.4.96.235:4080/rtp/239.77.1.94:5146$1920x1080, Date: None, Resolution: None, Response Time: 1186ms
Name: 广东珠江, URL: http://116.4.96.235:4080/rtp/239.77.0.114:5146$1920x1080, Date: None, Resolution: None, Response Time: 1187ms
Name: 广东珠江, URL: http://gmxw.7766.org:808/hls/83/index.m3u8, Date: None, Resolution: None, Response Time: 1429ms
Name: 广东珠江, URL: http://lzjzyh.xyz:8888/udp/239.20.0.64:3144$1920x1080, Date: None, Resolution: None, Response Time: 1481ms
Name: 广东珠江, URL: http://116.4.96.235:4080/udp/239.77.0.1:5146$1920x1080, Date: None, Resolution: None, Response Time: 1492ms
Name: 广东珠江, URL: http://120.234.49.38:7000/udp/239.20.0.64:3144$1920x1080, Date: None, Resolution: None, Response Time: 1826ms
Name: 广东珠江, URL: http://120.238.84.44:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 3540ms
Name: 江门综合, URL: http://113.67.164.10:8888/rtp/239.77.0.195:5146$1920x1080, Date: None, Resolution: None, Response Time: 480ms
Name: 江门综合, URL: http://113.67.164.10:8888/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: None, Response Time: 481ms
Name: 江门综合, URL: http://113.110.201.133:8888/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: None, Response Time: 483ms
Name: 江门综合, URL: http://113.110.201.133:8888/rtp/239.77.0.195:5146$1920x1080, Date: None, Resolution: None, Response Time: 486ms
Name: 江门综合, URL: http://125.89.163.44:8888/udp/239.77.0.201:5146$720x576, Date: None, Resolution: None, Response Time: 501ms
Name: 江门综合, URL: http://tenfarr.com:4000/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: None, Response Time: 505ms
Name: 江门综合, URL: http://113.101.160.29:8888/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: None, Response Time: 506ms
Name: 江门综合, URL: http://113.101.160.29:8888/rtp/239.77.0.195:5146$1920x1080, Date: None, Resolution: None, Response Time: 508ms
Name: 江门综合, URL: http://jt.zorua.cn:8787/udp/239.77.0.195:5146$720x576, Date: None, Resolution: None, Response Time: 830ms
Name: 江门综合, URL: http://jt.zorua.cn:8787/udp/239.77.0.201:5146$720x576, Date: None, Resolution: None, Response Time: 833ms
Name: 江门综合, URL: http://116.4.96.235:4080/rtp/239.77.0.201:5146$1920x1080, Date: None, Resolution: None, Response Time: 1485ms
Name: 江门综合, URL: http://116.4.96.235:4080/rtp/239.77.0.195:5146$1920x1080, Date: None, Resolution: None, Response Time: 2506ms
Name: 江门侨乡生活, URL: http://116.4.96.235:4080/rtp/239.77.0.196:5146$1920x1080, Date: None, Resolution: None, Response Time: 478ms
Name: 江门侨乡生活, URL: http://113.67.164.10:8888/rtp/239.77.0.196:5146$1920x1080, Date: None, Resolution: None, Response Time: 481ms
Name: 江门侨乡生活, URL: http://113.67.164.10:8888/rtp/239.77.0.202:5146$1920x1080, Date: None, Resolution: None, Response Time: 481ms
Name: 江门侨乡生活, URL: http://113.110.201.133:8888/rtp/239.77.0.202:5146$1920x1080, Date: None, Resolution: None, Response Time: 483ms
Name: 江门侨乡生活, URL: http://113.110.201.133:8888/rtp/239.77.0.196:5146$1920x1080, Date: None, Resolution: None, Response Time: 487ms
Name: 江门侨乡生活, URL: http://125.89.163.44:8888/udp/239.77.0.202:5146$720x576, Date: None, Resolution: None, Response Time: 501ms
Name: 江门侨乡生活, URL: http://113.101.160.29:8888/rtp/239.77.0.196:5146$1920x1080, Date: None, Resolution: None, Response Time: 506ms
Name: 江门侨乡生活, URL: http://113.101.160.29:8888/rtp/239.77.0.202:5146$1920x1080, Date: None, Resolution: None, Response Time: 509ms
Name: 江门侨乡生活, URL: http://tenfarr.com:4000/rtp/239.77.0.196:5146$1920x1080, Date: None, Resolution: None, Response Time: 520ms
Name: 江门侨乡生活, URL: http://tenfarr.com:4000/rtp/239.77.0.202:5146$1920x1080, Date: None, Resolution: None, Response Time: 521ms
Name: 江门侨乡生活, URL: http://jt.zorua.cn:8787/udp/239.77.0.202:5146$720x576, Date: None, Resolution: None, Response Time: 683ms
Name: 江门侨乡生活, URL: http://jt.zorua.cn:8787/udp/239.77.0.196:5146$720x576, Date: None, Resolution: None, Response Time: 707ms
Name: 江门侨乡生活, URL: http://116.4.96.235:4080/rtp/239.77.0.202:5146$1920x1080, Date: None, Resolution: None, Response Time: 1173ms
Name: 广东体育, URL: http://116.4.96.235:4080/rtp/239.77.0.112:5146$1920x1080, Date: None, Resolution: None, Response Time: 477ms
Name: 广东体育, URL: http://119.129.238.239:10000/udp/239.77.0.6:5146$720x576, Date: None, Resolution: None, Response Time: 477ms
Name: 广东体育, URL: http://113.67.164.10:8888/rtp/239.77.1.97:5146$1920x1080, Date: None, Resolution: None, Response Time: 480ms
Name: 广东体育, URL: http://116.4.96.235:4080/rtp/239.77.1.97:5146$1920x1080, Date: None, Resolution: None, Response Time: 480ms
Name: 广东体育, URL: http://113.67.164.10:8888/rtp/239.77.0.112:5146$1920x1080, Date: None, Resolution: None, Response Time: 481ms
